car,move
A,-1
C,-1
A,1
G,-1
L,-1
L,1
F,1
A,-1
J,-1
A,1
I,2
I,-1
F,-1
I,-1
G,1
I,1
A,-1
G,-2
H,-1
I,1
H,1
G,1
G,-1
G,1
H,1
E,1
G,-1
L,-2
D,-1
L,1
X,1
L,1
L,-1
X,-1
L,-1
L,1
L,-1
J,-2
E,2
E,-1
E,-1
E,2
H,-1
I,-2
I,2
I,-2
I,-1
I,1
I,-1
I,1
I,1
I,1
I,-2
I,-1
I,3
I,-3
I,1
I,1
I,-2
I,1
I,1
I,1
I,-3
I,3
I,-3
I,1
D,1
I,2
D,-1
I,-1
I,1
I,-1
I,-2
I,2
D,1
I,1
I,-1
I,-1
D,-1
I,-1
I,3
I,-3
I,2
I,1
I,-1
I,-1
D,1
D,-1
I,-1
I,1
D,1
D,-1
D,1
D,-1
I,1
I,-1
I,-1
H,1
E,-1
E,1
E,-1
E,-1
J,1
J,-1
E,1
E,-1
E,1
E,1
E,-1
E,1
E,-2
J,3
J,-1
J,1
J,-2
J,1
L,1
L,1
F,1
F,-1
L,-1
L,-1
L,1
L,1
G,1
A,1
J,1
E,2
L,-1
E,-1
E,-1
E,2
H,-1
H,1
E,-1
E,-1
E,1
E,-1
A,-1
J,-1
L,1
G,-1
J,1
X,1
L,-1
E,1
L,1
X,2
L,-2
L,1
X,-1
X,1
G,1
B,-1
L,1
E,1
F,1
K,-1
B,1
K,1
B,-1
K,-1
I,-1
X,1
