car,move
C,-1
G,-1
A,-1
H,-1
A,1
H,1
J,-1
A,-1
J,1
A,1
A,-1
H,-1
H,1
G,-1
J,-1
G,2
I,1
A,1
A,-1
G,-2
L,-2
I,-1
J,-1
I,2
I,-2
J,-1
I,1
I,1
H,1
J,1
J,-1
E,3
E,-1
E,1
E,-2
D,-1
E,2
H,-1
I,-1
I,-1
D,1
I,1
I,1
H,1
E,-1
E,-1
D,-1
E,2
E,-1
E,-1
D,1
E,-1
E,3
D,-1
H,-1
D,1
I,-1
I,1
I,-1
I,1
I,-1
I,1
D,-1
I,-2
I,-1
H,1
E,-2
J,1
J,-1
J,2
J,-1
J,-1
J,2
J,1
E,1
E,-1
L,2
E,1
E,-1
J,-1
X,1
F,1
F,-1
X,-1
F,1
K,-1
J,1
J,-1
J,1
E,1
X,1
X,1
X,-1
K,1
X,2
E,1
X,-3
G,1
E,-2
G,-1
E,2
E,-1
K,-1
K,1
X,2
F,-1
X,-1
X,-1
X,1
X,1
X,1
E,1
F,2
X,-1
K,-2
F,-1
F,1
F,-1
X,1
K,1
F,1
F,-1
K,1
X,-1
X,-1
K,-2
X,1
F,1
F,-1
E,-1
E,1
K,1
E,-1
K,1
X,-2
X,1
E,1
H,-1
K,-2
K,1
X,-1
H,1
G,1
A,1
H,-1
H,1
A,-1
E,-2
G,-1
E,1
X,2
K,1
F,-1
F,1
X,1
K,-1
X,-3
E,1
E,-2
X,1
X,-1
K,1
E,2
X,3
K,-2
K,1
G,1
E,-1
G,-1
K,1
E,1
K,-2
X,-2
H,-1
K,1
X,-1
X,2
H,1
X,1
K,-1
K,1
K,-1
K,1
G,1
E,-1
K,1
B,-1
F,-1
I,-1
X,1
