car,move
J,-1
I,1
I,-1
A,-1
J,1
B,-1
C,-1
J,-1
I,1
I,1
G,-1
I,-1
G,1
C,1
I,1
C,-1
B,1
A,1
I,-1
I,1
G,-1
I,-2
I,1
L,-1
A,-1
G,-1
L,-1
I,-1
L,1
I,1
G,1
I,-1
A,1
A,-1
G,-1
X,1
I,2
X,-1
L,-1
L,2
X,1
L,-1
X,-1
L,-1
J,-2
I,-2
I,2
I,-2
J,2
I,2
H,1
E,1
J,-2
D,-1
J,1
J,1
J,-1
J,1
J,-1
J,1
L,1
D,1
D,-1
L,-1
J,-2
E,1
D,1
E,-2
E,1
E,1
E,-1
E,1
E,1
E,-2
D,-1
J,2
J,-1
J,1
L,1
D,1
L,-1
D,-1
J,-1
J,-1
E,1
D,1
E,1
D,-1
H,-1
I,-2
I,-1
I,2
I,-1
D,1
D,-1
I,-1
I,2
I,1
D,1
I,-2
I,1
I,-1
I,2
D,-1
I,-1
D,1
I,1
D,-1
I,-1
I,1
I,-3
I,2
I,1
I,-3
I,3
I,-1
D,1
I,1
D,-1
H,1
H,-1
D,1
I,-1
I,-1
D,-1
I,2
I,-1
I,1
I,-3
H,1
E,-2
J,1
J,2
E,1
L,2
G,1
E,1
E,-1
B,-1
G,1
D,-1
E,-1
E,2
B,1
E,-2
E,2
B,-1
D,1
B,1
D,-1
H,-1
D,1
C,1
B,-1
I,1
D,1
C,1
C,-1
C,-1
G,-1
F,1
K,-1
K,1
F,-1
B,1
B,-1
B,1
G,-1
X,3
F,1
X,-2
X,2
D,-1
K,-1
K,1
G,1
K,-1
K,1
B,-1
F,-1
I,-2
X,1
